author_id,openalex_id,openalex_display_name,affiliation,all_affiliations,affiliation_country_code,affiliation_source,openalex_match_status
pid:00/8526,https://openalex.org/A5030309917,Nicha C. Dvornek,Yale University,Yale University,US,affiliations_fallback,matched_by_orcid
pid:00/9830,https://openalex.org/A5007248971,Mauricio A. Álvarez,Technological University of Pereira,Technological University of Pereira|University of Manchester|University of Sheffield,CO,last_known_institutions_primary,matched_by_orcid
pid:01/10046,https://openalex.org/A5053007211,Ethan Fetaya,Bar-Ilan University,Bar-Ilan University,IL,last_known_institutions_primary,matched_by_orcid
pid:01/1084-1,https://openalex.org/A5101988843,Abhinav Verma,Pennsylvania State University,Pennsylvania State University,US,last_known_institutions_primary,matched_by_orcid
pid:01/10961,https://openalex.org/A5033819821,Tobias Sutter,University of St.Gallen,University of St.Gallen|University of Applied Sciences St. Gallen,CH,last_known_institutions_primary,matched_by_orcid
pid:01/1190-5,https://openalex.org/A5011513673,T. G. F. Li,Hunan University,Hunan University,CN,last_known_institutions_primary,matched_by_orcid
pid:01/1901-17,https://openalex.org/A5101704070,Yi Zhou,Chongqing University of Posts and Telecommunications,Chongqing University of Posts and Telecommunications|China National Offshore Oil Corporation (China)|Henan University|Peking University|Lanzhou University of Technology|Sichuan University|Queens University|Economic Research Institute,CN,last_known_institutions_primary,matched_by_orcid
pid:01/2086-15,https://openalex.org/A5051161496,Lu Lu,Zhejiang Normal University,Zhejiang Normal University|Hangzhou Normal University|China Mobile (China)|Chinese Academy of Medical Sciences & Peking Union Medical College|Sichuan University|West China Hospital of Sichuan University|Zigong First People's Hospital|China United Network Communications Group (China)|China Medical University,CN,last_known_institutions_primary,matched_by_orcid
pid:01/2095-11,https://openalex.org/A5133198996,Xiao Han,Sichuan University,Sichuan University,CN,last_known_institutions_primary,matched_by_orcid
pid:01/24-6,https://openalex.org/A5022659405,L. Yang,University of Shanghai for Science and Technology,University of Shanghai for Science and Technology|Princeton University|Peking University|Lanzhou Jiaotong University|Soochow University,CN,last_known_institutions_primary,matched_by_orcid
pid:01/267-1,https://openalex.org/A5043464306,Song Guo,Hong Kong Polytechnic University,Hong Kong Polytechnic University|Hong Kong University of Science and Technology|Peking University|State Key Joint Laboratory of Environment Simulation and Pollution Control|Children's Hospital of Chongqing Medical University|Sichuan Academy of Agricultural Sciences|Massachusetts Institute of Technology|Chongqing Medical University|University of Hong Kong|Tsinghua University,HK,last_known_institutions_primary,matched_by_orcid
pid:01/2743-6,https://openalex.org/A5089012283,Rui Song,Xidian University,Xidian University,CN,last_known_institutions_primary,matched_by_orcid
pid:01/3595-6,https://openalex.org/A5101887041,Rui Sun,University of Science and Technology of China,University of Science and Technology of China|Harbin Medical University|University Town of Shenzhen|SpaceX (United States)|Tsinghua University,CN,last_known_institutions_primary,matched_by_orcid
pid:01/3962-1,https://openalex.org/A5100741363,Yueming Wang,Anhui Jianzhu University,Anhui Jianzhu University|Zhejiang University of Science and Technology|Interface (United States)|Zhejiang Lab|Shanghai Institute of Technical Physics|Guangzhou Institute of Geography|Beijing Tsinghua Chang Gung Hospital|University of Chinese Academy of Sciences|Zhejiang University of Technology|Zhejiang University,CN,last_known_institutions_primary,matched_by_orcid
pid:01/452-1,https://openalex.org/A5009753955,Zhiyong Yang,PLA Rocket Force University of Engineering,PLA Rocket Force University of Engineering|University of Chinese Academy of Sciences|Nanchang Hangkong University,CN,last_known_institutions_primary,matched_by_orcid
pid:01/4921,https://openalex.org/A5033409139,Tudor Dumitraş,"University of California, Santa Barbara","University of California, Santa Barbara",US,last_known_institutions_primary,matched_by_orcid
pid:01/5329,https://openalex.org/A5108278266,Alán Aspuru-Guzik,Canadian Institute for Advanced Research,Canadian Institute for Advanced Research|University of Toronto|Vector Institute,CA,last_known_institutions_primary,matched_by_orcid
pid:01/5394-1,https://openalex.org/A5100334607,Liang Chen,Tongji University,Tongji University|ShangHai JiAi Genetics & IVF Institute,CN,last_known_institutions_primary,matched_by_orcid
pid:01/5855,https://openalex.org/A5005626854,Chen Change Loy,Nanyang Technological University,Nanyang Technological University,SG,last_known_institutions_primary,matched_by_orcid
pid:01/6072-7,https://openalex.org/A5039597643,Chen Sun,Guangzhou University of Chinese Medicine,Guangzhou University of Chinese Medicine|Fudan University,CN,last_known_institutions_primary,matched_by_orcid
pid:01/6788,https://openalex.org/A5116339285,and Lorenzo Rosasco,Ingegneria dei Sistemi (Italy),Ingegneria dei Sistemi (Italy),IT,last_known_institutions_primary,matched_by_orcid
pid:01/6961-1,https://openalex.org/A5100777770,Hua Wei,University of Shanghai for Science and Technology,University of Shanghai for Science and Technology,CN,last_known_institutions_primary,matched_by_orcid
pid:01/773-1,https://openalex.org/A5100335705,Yali Wang,Weifang Medical University,"Weifang Medical University|North China University of Science and Technology|Central South University|University of Alaska Fairbanks|Tianjin University|Hebei North University|Yunnan University|Dalian Medical University|Chinese Academy of Sciences|Dalian University of Technology|Tianjin Economic-Technological Development Area|Suzhou University of Science and Technology|Zhengzhou University|Central China Normal University|Gansu University of Traditional Chinese Medicine|Dalian University|Shandong Jiaotong University|Beijing Academy of Artificial Intelligence|Second Affiliated Hospital of Dalian Medical University|Zhejiang Hospital|Wuhan Botanical Garden|ShangHai JiAi Genetics & IVF Institute|Shenzhen Institutes of Advanced Technology|Chinese Research Academy of Environmental Sciences|Xiangya Hospital Central South University|China University of Petroleum, East China|University of Chinese Academy of Sciences|Shanghai Artificial Intelligence Laboratory",CN,last_known_institutions_primary,matched_by_orcid
pid:01/836-2,https://openalex.org/A5040225125,Fang Wu,Central South University,Central South University|Shanghai University of Engineering Science|Southwest University|Zhejiang University,CN,last_known_institutions_primary,matched_by_orcid
pid:01/8558-1,https://openalex.org/A5074799043,Ying Shen,Tongji University,Tongji University|University of Illinois Urbana-Champaign|Sun Yat-sen University|Shenzhen University|Sir Run Run Shaw Hospital|Southern University of Science and Technology|Jiaxing University|Institute of Plant Protection|Kunshan Govisionox Optoelectronic (China)|Shanghai Tenth People's Hospital|Chinese Academy of Meteorological Sciences|Zhejiang Entry-Exit Inspection and Quarantine Bureau|Jiangsu Province Hospital|Institute of Atmospheric Physics|Zhejiang University|Nanjing Medical University,CN,last_known_institutions_primary,matched_by_orcid
pid:02/1079,https://openalex.org/A5100695406,Jianhua Yao,Trine University,Trine University|Tencent (China)|Southern University of Science and Technology|Tencent Healthcare (China)|Phoenix (United States)|Ministry of Education|Laser Expertise (United Kingdom)|Advanced Laser Technology (United Kingdom)|BGI Research|Zhejiang University of Technology,US,last_known_institutions_primary,matched_by_orcid
pid:02/146,https://openalex.org/A5088621320,Jiafeng Guo,Zibo Vocational Institute,Zibo Vocational Institute|Chinese Academy of Sciences|Institute of Computing Technology|Computer Network Information Center|University of Chinese Academy of Sciences,CN,last_known_institutions_primary,matched_by_orcid
pid:02/1554-1,https://openalex.org/A5100604494,Tong He,University of Science and Technology of China,University of Science and Technology of China|East China Jiaotong University|Qingdao University of Science and Technology|North China Electric Power University|State Grid Corporation of China (China)|Chinese Academy of Sciences|National Medical Products Administration|Sichuan University|West China Medical Center of Sichuan University|West China Second University Hospital of Sichuan University|Beijing Academy of Artificial Intelligence|ShangHai JiAi Genetics & IVF Institute|Nomor Research (Germany)|Air Force Institute of Aviation Medicine Affiliated Hospital|Beijing Polytechnic|Institute of Solid State Physics|Chinese People's Liberation Army|Shanghai Artificial Intelligence Laboratory|Qingdao University of Technology|Xi’an Jiaotong-Liverpool University,CN,last_known_institutions_primary,matched_by_orcid
pid:02/1554-2,https://openalex.org/A5091543199,Tong He,Central University of Finance and Economics,Central University of Finance and Economics|Huaibei Normal University,CN,last_known_institutions_primary,matched_by_orcid
pid:02/2229,https://openalex.org/A5063089732,Nisheeth K. Vishnoi,Nanjing Agricultural University,Nanjing Agricultural University|Nanjing Tech University|Yale University|Nanjing University,CN,last_known_institutions_primary,matched_by_orcid
pid:02/2475-2,https://openalex.org/A5100434402,Seung‐Jae Lee,Yonsei University,Yonsei University|Seoul National University Bundang Hospital|Korea Air Force Academy|Jeonbuk National University,KR,last_known_institutions_primary,matched_by_orcid
pid:02/2689-1,https://openalex.org/A5037306106,Hong Chang,Institute of Computing Technology,Institute of Computing Technology|State Power Investment Corporation (China)|University of Chinese Academy of Sciences,CN,last_known_institutions_primary,matched_by_orcid
pid:02/2737-1,https://openalex.org/A5103215558,Fuchun Sun,Tsinghua University,Tsinghua University,CN,last_known_institutions_primary,matched_by_orcid
pid:02/3069,https://openalex.org/A5015286159,Kush R. Varshney,IBM (United States),IBM (United States)|IBM Research - Thomas J. Watson Research Center,US,last_known_institutions_primary,matched_by_orcid
pid:02/3166-2,https://openalex.org/A5032618817,Li Niu,Shanghai Jiao Tong University,Shanghai Jiao Tong University,CN,last_known_institutions_primary,matched_by_orcid
pid:02/3657,https://openalex.org/A5002426346,Freddy Lécué,Institut national de recherche en sciences et technologies du numérique,Institut national de recherche en sciences et technologies du numérique|Institut national de recherche en informatique et en automatique,FR,last_known_institutions_primary,matched_by_orcid
pid:02/393-1,https://openalex.org/A5104044152,Yuan Jiang,Beijing University of Chinese Medicine,Beijing University of Chinese Medicine|North West Agriculture and Forestry University|Nanjing University,CN,last_known_institutions_primary,matched_by_orcid
pid:02/41-1,https://openalex.org/A5100652865,Yurong Chen,Intel (United States),"Intel (United States)|Anhui Agricultural University|Harbin Medical University|Sun Yat-sen University|National University of Defense Technology|Anhui University of Science and Technology|Xiamen University|Jilin University|Fudan University|Kunming Medical University|First Affiliated Hospital of Xiamen University|Shanghai Stomatological Hospital|Third Affiliated Hospital of Harbin Medical University|Zhongshan Hospital of Xiamen University|First Hospital of Jilin University|Hubei University of Automotive Technology|China University of Petroleum, East China|Xi'an Jiaotong University|Guangzhou Medical University",US,last_known_institutions_primary,matched_by_orcid
pid:02/4808,https://openalex.org/A5083508779,Maoran Zhen,Zhongshan Hospital,Zhongshan Hospital,CN,last_known_institutions_primary,matched_by_orcid
pid:02/5194-1,https://openalex.org/A5100735881,Yan Zhuang,Qiqihar University,Qiqihar University|University of Science and Technology of China|Nanjing Tech University|Davidson College|South China Normal University|Wuhan University of Technology|Nantong University|Wenzhou Medical University|First Affiliated Hospital of Wenzhou Medical University|Chinese PLA General Hospital|China University of Geosciences|Institut de Planétologie et d'Astrophysique de Grenoble|National Institutes of Health Clinical Center|Xi'an Jiaotong University|Université Grenoble Alpes|Icahn School of Medicine at Mount Sinai,CN,last_known_institutions_primary,matched_by_orcid
pid:02/5438,https://openalex.org/A5134132834,Yi Chang,Machine Intelligence Research Institute,Machine Intelligence Research Institute,US,last_known_institutions_primary,matched_by_orcid
pid:02/5889-106,https://openalex.org/A5100445217,Yu Wang,Tianjin University of Traditional Chinese Medicine,Tianjin University of Traditional Chinese Medicine|Tianjin University|China National Center for Food Safety Risk Assessment|Chinese Medical Association|Tianjin haihe hospital|Chinese Academy of Governance|Tsinghua University,CN,last_known_institutions_primary,matched_by_orcid
pid:02/5889-160,https://openalex.org/A5100445079,Yu Wang,Zhejiang University,Zhejiang University,CN,last_known_institutions_primary,matched_by_orcid
pid:02/5889-170,https://openalex.org/A5102937215,Yu Wang,University of California San Diego,University of California San Diego,US,last_known_institutions_primary,matched_by_orcid
pid:02/5889-27,https://openalex.org/A5100445125,Yu Wang,Shenzhen Polytechnic University,Shenzhen Polytechnic University|Shanghai Jiao Tong University|Renji Hospital|Hebei University of Science and Technology|Beijing Academy of Artificial Intelligence|Shanghai Artificial Intelligence Laboratory,CN,last_known_institutions_primary,matched_by_orcid
pid:02/661-1,https://openalex.org/A5101522100,Huaimin Wang,National University of Defense Technology,National University of Defense Technology,CN,affiliations_fallback,matched_by_orcid
pid:02/6854-2,https://openalex.org/A5058025888,Bin Ren,William & Mary,"William & Mary|Shanxi Medical University|Williams (United States)|Dongguan University of Technology|Shanxi Academy of Medical Sciences|Sofia University ""St. Kliment Ohridski""",US,last_known_institutions_primary,matched_by_orcid
pid:02/736-113,https://openalex.org/A5100378682,Jing Wang,Jeonju National University of Education,Jeonju National University of Education|Nanjing University of Information Science and Technology|Ministry of Education|Affiliated Hospital of Jining Medical University|Jeonju University|Southeast University|Jinzhou Medical University,KR,last_known_institutions_primary,matched_by_orcid
pid:02/736-23,https://openalex.org/A5100378492,Jing Wang,Fujian University of Traditional Chinese Medicine,Fujian University of Traditional Chinese Medicine|Beijing Microelectronics Technology Institute,CN,last_known_institutions_primary,matched_by_orcid
pid:02/7781-1,https://openalex.org/A5101873694,Shanshan Zhao,Alibaba Group (China),Alibaba Group (China)|Zhangzhou Normal University,CN,last_known_institutions_primary,matched_by_orcid
pid:02/8125-3,https://openalex.org/A5100393855,Zhiyuan Yang,Northeast Forestry University,Northeast Forestry University,CN,last_known_institutions_primary,matched_by_orcid
pid:02/8200-2,https://openalex.org/A5065001783,Ji Lin,Zhejiang Sci-Tech University,Zhejiang Sci-Tech University|Shandong University|Beijing Jiaotong University|Beijing Forestry University|Zhejiang Ocean University|Jiangsu Vocational Institute of Commerce|Second Institute of Oceanography|IIT@MIT|Luoyang Normal University|Changchun University|Zhejiang University of Technology,CN,last_known_institutions_primary,matched_by_orcid
pid:02/9654-1,https://openalex.org/A5039969889,Yijie Lin,Sichuan University,Sichuan University,CN,last_known_institutions_primary,matched_by_orcid
pid:03/10023-1,https://openalex.org/A5070236689,Yu Guang Wang,University of Science and Technology of China,University of Science and Technology of China|Minzu University of China|Hefei National Center for Physical Sciences at Nanoscale,CN,last_known_institutions_primary,matched_by_orcid
pid:03/10205-5,https://openalex.org/A5102025315,Chang Zhou,Shanghai Liangyou (China),Shanghai Liangyou (China),CN,last_known_institutions_primary,matched_by_orcid
pid:03/1094-32,https://openalex.org/A5100748707,Wei Yang,Tencent (China),Tencent (China)|Sichuan University of Science and Engineering,CN,last_known_institutions_primary,matched_by_orcid
pid:03/1359-1,https://openalex.org/A5100429133,Chuan Chen,Sun Yat-sen University,Sun Yat-sen University,CN,last_known_institutions_primary,matched_by_orcid
pid:03/1390-7,https://openalex.org/A5100362815,Jiawei Chen,Jiangnan University,Jiangnan University|University of North Carolina at Chapel Hill|Shandong University of Technology|Zhejiang Sci-Tech University|National Sun Yat-sen University|Anhui University|National Yang Ming Chiao Tung University|Zhejiang University of Science and Technology|China University of Mining and Technology|China Electronics Technology Group Corporation|First Affiliated Hospital of Guangzhou Medical University|Integrated Chinese Medicine (China)|Data Assurance and Communication Security|Beijing Polytechnic|Zhejiang University|Ministry of Industry and Information Technology|Guangzhou Medical University,CN,last_known_institutions_primary,matched_by_orcid
pid:03/1524-5,https://openalex.org/A5100428885,Jinyoung Park,Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology|Korea University,KR,last_known_institutions_primary,matched_by_orcid
pid:03/1645,https://openalex.org/A5054606088,Daniel P. Palomar,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,HK,last_known_institutions_primary,matched_by_orcid
pid:03/2663,https://openalex.org/A5045638679,Nicholas D. Lane,University of Cambridge,University of Cambridge|Flower Hospital,GB,last_known_institutions_primary,matched_by_orcid
pid:03/2691,https://openalex.org/A5024153474,Deanna Needell,"University of California, Los Angeles","University of California, Los Angeles",US,last_known_institutions_primary,matched_by_orcid
pid:03/281,https://openalex.org/A5060016795,Heng Huang,Chongqing University,"Chongqing University|University of Pittsburgh|Chengdu University of Technology|Ocean University of China|Nagoya University|University of Maryland, College Park|Hainan Tropical Ocean University",CN,last_known_institutions_primary,matched_by_orcid
pid:03/3273,https://openalex.org/A5024224610,Georgios Tzimiropoulos,Samsung (United Kingdom),Samsung (United Kingdom),GB,affiliations_fallback,matched_by_orcid
pid:03/3500,https://openalex.org/A5076485255,Yanyun Qu,Jimei University,Jimei University,CN,last_known_institutions_primary,matched_by_orcid
pid:03/3520-2,https://openalex.org/A5101198967,Han Zhao,Kunming University of Science and Technology,Kunming University of Science and Technology|Ministry of Education,CN,last_known_institutions_primary,matched_by_orcid
pid:03/353,https://openalex.org/A5005504863,Srinivas Shakkottai,Texas A&M University,Texas A&M University,US,affiliations_fallback,matched_by_orcid
pid:03/3923-1,https://openalex.org/A5101727205,Xiaodong He,Northeast Agricultural University,Northeast Agricultural University|Shandong Academy of Agricultural Machinery Sciences|Jingdong (China),CN,last_known_institutions_primary,matched_by_orcid
pid:03/4540-9,https://openalex.org/A5100371707,Zijian Wang,Wannan Medical College,"Wannan Medical College|Changchun University of Science and Technology|United States Department of Transportation|Capital University|University of Queensland|The University of Queensland|State Grid Corporation of China (China)|Donghua University|Capital Medical University|Heilongjiang University of Chinese Medicine|China University of Petroleum, Beijing|Harbin Institute of Technology|Dalian University of Technology|China General Nuclear Power Corporation (China)|Computer Network Information Center|Shandong Iron and Steel Group (China)|CASI Pharmaceuticals (United States)|St. Elizabeth Youngstown Hospital|Shanghai Electric (China)|Beijing Transportation Research Center|State Nuclear Power Technology Company (China)|China University of Petroleum, East China|Beihang University|Xinjiang University",CN,last_known_institutions_primary,matched_by_orcid
pid:03/4755-5,https://openalex.org/A5031991151,Yue Dai,University of Pittsburgh,University of Pittsburgh|Anhui University of Science and Technology,US,last_known_institutions_primary,matched_by_orcid
pid:03/5204-1,https://openalex.org/A5071510961,Xinmei Tian,University of Science and Technology of China,University of Science and Technology of China,CN,last_known_institutions_primary,matched_by_orcid
pid:03/5225-1,https://openalex.org/A5021809690,Guorong Wu,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill|Yunnan Normal University|University of North Carolina Health Care|Nanjing Normal University|ShenZhen People’s Hospital|Panzhihua University|Institute of Mountain Hazards and Environment|Shenzhen Bao'an District People's Hospital|University of Chinese Academy of Sciences|Northeastern University,US,last_known_institutions_primary,matched_by_orcid
pid:03/5287-8,https://openalex.org/A5057120678,Jin Chen,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,HK,last_known_institutions_primary,matched_by_orcid
pid:03/5448,https://openalex.org/A5058849006,Mehryar Mohri,Google (United States),Google (United States)|Courant Institute of Mathematical Sciences,US,last_known_institutions_primary,matched_by_orcid
pid:03/5455,https://openalex.org/A5133917375,Michal Valko,Centre Inria de Saclay,Centre Inria de Saclay,FR,last_known_institutions_primary,matched_by_name
pid:03/5595-1,https://openalex.org/A5100352418,Xian Wu,Zhejiang Chinese Medical University,Zhejiang Chinese Medical University|East Carolina University|Hangzhou Medical College,CN,last_known_institutions_primary,matched_by_orcid
pid:03/5597,https://openalex.org/A5133754892,Lap-Pui Chau,Hong Kong Polytechnic University,Hong Kong Polytechnic University,HK,last_known_institutions_primary,matched_by_orcid
pid:03/6063,https://openalex.org/A5084530286,Shakir Mohamed,University of Cape Town,University of Cape Town|Google DeepMind (United Kingdom)|National Institute for Theoretical Physics|Google (United Kingdom)|South African Radio Astronomy Observatory|Applied Radar (United States)|Astronomical Observatory|University of Virginia,ZA,last_known_institutions_primary,matched_by_orcid
pid:03/7346-2,https://openalex.org/A5087474240,Yuxin Zhang,Xiamen University,Xiamen University,CN,affiliations_fallback,matched_by_orcid
pid:03/8052,https://openalex.org/A5103273436,Ron J. Weiss,Massachusetts Institute of Technology,Massachusetts Institute of Technology,US,last_known_institutions_primary,matched_by_orcid
pid:03/8155,https://openalex.org/A5068811427,Graham Neubig,Carnegie Mellon University,Carnegie Mellon University,US,affiliations_fallback,matched_by_orcid
pid:03/8693,https://openalex.org/A5002625178,Efstratios Gavves,Amsterdam University of Applied Sciences,Amsterdam University of Applied Sciences|University of Amsterdam,NL,last_known_institutions_primary,matched_by_orcid
pid:03/9437,https://openalex.org/A5009102659,Neil Zhenqiang Gong,Duke University,Duke University,US,last_known_institutions_primary,matched_by_orcid
pid:04/10427,https://openalex.org/A5013117957,Peter Watkinson,University of Oxford,University of Oxford|NIHR Oxford Musculoskeletal Biomedical Research Centre|Oxford University Hospitals NHS Trust,GB,last_known_institutions_primary,matched_by_orcid
pid:04/2024-9,https://openalex.org/A5102817767,Qian Zhang,Beijing University of Agriculture,Beijing University of Agriculture|Horizon Robotics (China),CN,last_known_institutions_primary,matched_by_orcid
pid:04/2068,https://openalex.org/A5103120022,Daniel Roy,University of Toronto,University of Toronto,CA,last_known_institutions_primary,matched_by_orcid
pid:04/2090-7,https://openalex.org/A5100760216,Zhi Zhou,Microsoft (United States),Microsoft (United States),US,affiliations_fallback,matched_by_orcid
pid:04/3348-109,https://openalex.org/A5030121180,Yan Zhang,Xiamen University,Xiamen University,CN,last_known_institutions_primary,matched_by_orcid
pid:04/3348-67,https://openalex.org/A5100456419,Yan Zhang,National University of Singapore,National University of Singapore|Fujian Electric Power Survey & Design Institute|Fuzhou University|Fujian University of Technology,SG,last_known_institutions_primary,matched_by_orcid
pid:04/4498-8,https://openalex.org/A5077300723,Junjie Chen,Central South University,Central South University|Zhengzhou University of Light Industry|Jiangxi University of Finance and Economics,CN,last_known_institutions_primary,matched_by_orcid
pid:04/4910-2,https://openalex.org/A5100660086,Ning Ding,Jilin University,Jilin University|Nanjing University of Posts and Telecommunications|Beijing Academy of Artificial Intelligence|Shanghai Artificial Intelligence Laboratory|Changchun University|Tsinghua University,CN,last_known_institutions_primary,matched_by_orcid
pid:04/4980,https://openalex.org/A5001041485,Atri Rudra,"University at Buffalo, State University of New York","University at Buffalo, State University of New York",US,last_known_institutions_primary,matched_by_orcid
pid:04/5072,https://openalex.org/A5074728200,Adam Smith,The Ohio State University Wexner Medical Center,The Ohio State University Wexner Medical Center,US,last_known_institutions_primary,matched_by_orcid
pid:04/5376,https://openalex.org/A5003612688,George Atia,University of Central Florida,University of Central Florida,US,last_known_institutions_primary,matched_by_orcid
pid:04/5856-9,https://openalex.org/A5040143669,Ning Xu,Chinese Academy of Sciences,"Chinese Academy of Sciences|Suzhou University of Technology|Ningbo No. 2 Hospital|Institute of Hydrobiology, Biology Centre, Academy of Sciences of the Czech Republic|University of Chinese Academy of Sciences|Nanjing University of Aeronautics and Astronautics",CN,last_known_institutions_primary,matched_by_orcid
pid:04/7235-1,https://openalex.org/A5134127472,Yining Wang,Chinese Academy of Medical Sciences & Peking Union Medical College,Chinese Academy of Medical Sciences & Peking Union Medical College|Peking Union Medical College Hospital,CN,last_known_institutions_primary,matched_by_orcid
pid:04/7480,https://openalex.org/A5089243170,Daniel Cullina,Pennsylvania State University,Pennsylvania State University,US,affiliations_fallback,matched_by_orcid
