author_id,openalex_id,openalex_display_name,affiliation,all_affiliations,affiliation_country_code,affiliation_source,openalex_match_status
pid:00/3050,https://openalex.org/A5069801730,Jean‐François Chamberland,Brigham Young University,Brigham Young University|Texas A&M University,US,last_known_institutions_primary,matched_by_orcid
pid:00/3214,https://openalex.org/A5009750573,Mohammed Bennamoun,The University of Western Australia,The University of Western Australia,AU,last_known_institutions_primary,matched_by_orcid
pid:00/3298,https://openalex.org/A5000078546,Swagatam Das,Government of India,Government of India|Government Medical College,IN,last_known_institutions_primary,matched_by_orcid
pid:00/336,https://openalex.org/A5054003032,Artur Andrzejak,Heidelberg University,Heidelberg University,DE,last_known_institutions_primary,matched_by_orcid
pid:00/3361-3,https://openalex.org/A5100342054,Lin Lin,Ningbo University,Ningbo University|Duke University|University of California San Diego|Institute of Plant Protection|Children’s Hospital of Fudan University Xiamen Branch|Xiamen Maternal and Child Health Hospital,CN,last_known_institutions_primary,matched_by_orcid
pid:00/343,https://openalex.org/A5067792459,Yurii Nesterov,Corvinus University of Budapest,Corvinus University of Budapest,HU,last_known_institutions_primary,matched_by_orcid
pid:00/3605,https://openalex.org/A5088287514,Daniel Štefankovič,University of Rochester,University of Rochester,US,affiliations_fallback,matched_by_orcid
pid:00/3820,https://openalex.org/A5078374818,Ozan Öktem,KTH Royal Institute of Technology,KTH Royal Institute of Technology,SE,last_known_institutions_primary,matched_by_orcid
pid:00/3855-2,https://openalex.org/A5100390092,Haitao Zhao,East China University of Science and Technology,East China University of Science and Technology,CN,affiliations_fallback,matched_by_orcid
pid:00/3862,https://openalex.org/A5062906790,Teddy Furon,Centre National de la Recherche Scientifique,Centre National de la Recherche Scientifique|Institut national de recherche en sciences et technologies du numérique|Institut de Recherche en Informatique et Systèmes Aléatoires|Inria Rennes - Bretagne Atlantique Research Centre|Centre Inria de l'Université de Rennes|Université de Rennes,FR,last_known_institutions_primary,matched_by_orcid
pid:00/3896-2,https://openalex.org/A5101954854,Taewoon Kim,Vrije Universiteit Amsterdam,Vrije Universiteit Amsterdam,NL,affiliations_fallback,matched_by_orcid
pid:00/4132-1,https://openalex.org/A5040396291,Michael Wimmer,TU Wien,TU Wien,AT,last_known_institutions_primary,matched_by_orcid
pid:00/4199,https://openalex.org/A5107303715,Spyros Angelopoulos,Centre National de la Recherche Scientifique,Centre National de la Recherche Scientifique|Sorbonne Université|LIP6,FR,last_known_institutions_primary,matched_by_orcid
pid:00/4516-5,https://openalex.org/A5078806844,Siyuan Liu,North University of China,North University of China|Xinjiang University,CN,last_known_institutions_primary,matched_by_orcid
pid:00/4572-3,https://openalex.org/A5101456902,Chun Yuan,Tsinghua University,Tsinghua University,CN,last_known_institutions_primary,matched_by_orcid
pid:00/4652-2,https://openalex.org/A5051989657,Il Memming Park,Champalimaud Foundation,Champalimaud Foundation,PT,last_known_institutions_primary,matched_by_orcid
pid:00/4709-3,https://openalex.org/A5101460721,Yanan Zhao,Nanyang Technological University,Nanyang Technological University,SG,last_known_institutions_primary,matched_by_orcid
pid:00/4734,https://openalex.org/A5057462458,Saša Misailovíc,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,US,last_known_institutions_primary,matched_by_orcid
pid:00/4758,https://openalex.org/A5000874697,Jonathan May,Biomedical Research Institute of Southern California,Biomedical Research Institute of Southern California|Southern States University,US,last_known_institutions_primary,matched_by_orcid
pid:00/5012-1,https://openalex.org/A5134080028,Jie Zhou,Tsinghua University,Tsinghua University,CN,last_known_institutions_primary,matched_by_orcid
pid:00/5012-16,https://openalex.org/A5100770464,Jie Zhou,Fujian Medical University,Fujian Medical University|National University of Defense Technology|University of Macau|Tencent (China)|Zhangzhou Municipal Hospital of Fujian Province|Shanghai Electric (China)|Shenzhen Technology University,CN,last_known_institutions_primary,matched_by_orcid
pid:00/5144,https://openalex.org/A5016154797,Igor Kiselev,Muscat College,Muscat College,OM,last_known_institutions_primary,matched_by_orcid
pid:00/5170-1,https://openalex.org/A5032267453,Yong Fan,University of Pennsylvania,University of Pennsylvania,US,last_known_institutions_primary,matched_by_orcid
pid:00/5405-2,https://openalex.org/A5002863314,G.-H. Wang,Tsinghua University,Tsinghua University,CN,last_known_institutions_primary,matched_by_orcid
pid:00/5451,https://openalex.org/A5065404842,Marcin Detyniecki,Centre National de la Recherche Scientifique,Centre National de la Recherche Scientifique|Sorbonne Université|AXA (France)|LIP6|Polish Academy of Sciences,FR,last_known_institutions_primary,matched_by_orcid
pid:00/5525,https://openalex.org/A5044954263,Jana Schaich Borg,Social Science Research Council,Social Science Research Council|Duke University,US,last_known_institutions_primary,matched_by_orcid
pid:00/555-1,https://openalex.org/A5100365573,Yifei Wang,Wuhan University,Wuhan University|Beijing University of Technology|Wuhan Donghu University|Tsinghua University,CN,last_known_institutions_primary,matched_by_orcid
pid:00/555-2,https://openalex.org/A5100365594,Yifei Wang,Changchun University,Changchun University|Brandeis University,CN,last_known_institutions_primary,matched_by_orcid
pid:00/555-5,https://openalex.org/A5100365572,Yifei Wang,Anhui Medical University,Anhui Medical University,CN,last_known_institutions_primary,matched_by_orcid
pid:00/5804-5,https://openalex.org/A5010677168,Xiaofeng Lin,"University of California, Los Angeles","University of California, Los Angeles",US,last_known_institutions_primary,matched_by_orcid
pid:00/5815-1,https://openalex.org/A5005819096,Yun Fu,Northeastern University,Northeastern University|Sun Yat-sen University|National Changhua University of Education|Universidad del Noreste|Northwest A&F University,US,last_known_institutions_primary,matched_by_orcid
pid:00/5848,https://openalex.org/A5072076034,Neil D. B. Bruce,University of Guelph,University of Guelph,CA,last_known_institutions_primary,matched_by_orcid
pid:00/5867-2,https://openalex.org/A5005718995,Chao Yang,North China University of Science and Technology,"North China University of Science and Technology|Lawrence Berkeley National Laboratory|University of Electronic Science and Technology of China|Hunan University|Shenzhen University|Shanghai Jiao Tong University|Chinese Academy of Sciences|Changsha University|Peking University|West China Medical Center of Sichuan University|Institute of Optics and Electronics, Chinese Academy of Sciences|University of Chinese Academy of Sciences|University of South China",CN,last_known_institutions_primary,matched_by_orcid
pid:00/5867-26,https://openalex.org/A5101667989,Yang Chao,Jiangxi Normal University,Jiangxi Normal University,CN,last_known_institutions_primary,matched_by_orcid
pid:00/5984-11,https://openalex.org/A5101581270,Qiao Li,Hebei Agricultural University,Hebei Agricultural University|Emory University|Chinese Academy of Medical Sciences & Peking Union Medical College|Hebei Normal University of Science and Technology|Hebei Normal University,CN,last_known_institutions_primary,matched_by_orcid
pid:00/6186,https://openalex.org/A5066187890,Andrea Passerini,University of Trento,University of Trento,IT,last_known_institutions_primary,matched_by_orcid
pid:00/6232,https://openalex.org/A5057788395,Guy N. Rothblum,Apple (United Kingdom),Apple (United Kingdom),GB,last_known_institutions_primary,matched_by_orcid
pid:00/6336,https://openalex.org/A5017744726,Ivo Große,German Centre for Integrative Biodiversity Research,German Centre for Integrative Biodiversity Research,DE,last_known_institutions_primary,matched_by_orcid
pid:00/6342-10,https://openalex.org/A5101560613,Jian Song,The University of Tokyo,The University of Tokyo,JP,affiliations_fallback,matched_by_orcid
pid:00/6381-2,https://openalex.org/A5101513622,Bin Hu,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,US,last_known_institutions_primary,matched_by_orcid
pid:00/6472-14,https://openalex.org/A5100366850,Shuo Chen,RIKEN,RIKEN|Mudanjiang Normal University,JP,last_known_institutions_primary,matched_by_orcid
pid:00/6472-3,https://openalex.org/A5100366889,Shuo Chen,Suzhou University of Science and Technology,Suzhou University of Science and Technology|Nanjing University of Science and Technology|RIKEN Center for Advanced Intelligence Project|Beihang University,CN,last_known_institutions_primary,matched_by_orcid
pid:00/6661-6,https://openalex.org/A5021933953,Cuong C. Nguyen,University of Surrey,University of Surrey,GB,last_known_institutions_primary,matched_by_orcid
pid:00/6716-4,https://openalex.org/A5101595454,Yu Xiang,Fudan University,Fudan University|National Health and Family Planning Commission,CN,last_known_institutions_primary,matched_by_orcid
pid:00/6922,https://openalex.org/A5048076896,Amiya Nayak,University of Ottawa,University of Ottawa|Ottawa University,CA,last_known_institutions_primary,matched_by_orcid
pid:00/6973-1,https://openalex.org/A5087997088,Hongqing Liu,Chongqing University of Posts and Telecommunications,Chongqing University of Posts and Telecommunications|National Oceanic and Atmospheric Administration|NOAA National Environmental Satellite Data and Information Service|IM Systems (United States)|NOAA Center for Satellite Applications and Research,CN,last_known_institutions_primary,matched_by_orcid
pid:00/6984-1,https://openalex.org/A5072730926,Hairong Qi,Electric Power University,Electric Power University|Northeast Electric Power University|University of Tennessee at Knoxville,VN,last_known_institutions_primary,matched_by_orcid
pid:00/7347,https://openalex.org/A5077616301,Dongliang Cui,State Key Laboratory of Synthetical Automation for Process Industries,State Key Laboratory of Synthetical Automation for Process Industries|Northeastern University,CN,last_known_institutions_primary,matched_by_orcid
pid:00/7423,https://openalex.org/A5039044523,Jacob Hinkle,Nvidia (United States),Nvidia (United States),US,last_known_institutions_primary,matched_by_orcid
pid:00/7437,https://openalex.org/A5014238603,Buzhou Tang,Shenzhen Institute of Information Technology,Shenzhen Institute of Information Technology|Harbin Institute of Technology|Peng Cheng Laboratory,CN,last_known_institutions_primary,matched_by_orcid
pid:00/7447,https://openalex.org/A5071156485,Hansu Gu,Amazon (United States),Amazon (United States)|Independent Sector|Oldham Council,US,last_known_institutions_primary,matched_by_orcid
pid:00/7677,https://openalex.org/A5081145634,Mike Papadakis,University of Luxembourg,University of Luxembourg,LU,last_known_institutions_primary,matched_by_orcid
pid:00/7733-2,https://openalex.org/A5102912701,Zhengyi Luo,Carnegie Mellon University,Carnegie Mellon University,US,last_known_institutions_primary,matched_by_orcid
pid:00/7739,https://openalex.org/A5082997975,Jimmy Lin,University of Waterloo,University of Waterloo|Environs Kimberley,CA,last_known_institutions_primary,matched_by_orcid
pid:00/7872-2,https://openalex.org/A5101897790,David Campos,Aalborg University,Aalborg University,DK,last_known_institutions_primary,matched_by_orcid
pid:00/8046,https://openalex.org/A5035088083,Matt Gardner,Technical College System of Georgia,Technical College System of Georgia,US,last_known_institutions_primary,matched_by_orcid
pid:00/8050,https://openalex.org/A5033114427,Tomáš Gavenčiak,Charles University,Charles University,CZ,affiliations_fallback,matched_by_orcid
pid:00/8110-1,https://openalex.org/A5100387389,Young Jin Kim,Ewha Womans University,Ewha Womans University,KR,last_known_institutions_primary,matched_by_orcid
pid:00/819,https://openalex.org/A5135601836,Mark A. Anastasio,,,,missing,matched_by_orcid
pid:00/8247,https://openalex.org/A5036790226,Byron Wallace,Northeastern University,Northeastern University,US,affiliations_fallback,matched_by_orcid
pid:00/8318,https://openalex.org/A5051249358,Rémi Flamary,Centre National de la Recherche Scientifique,Centre National de la Recherche Scientifique|École Polytechnique|Centre de Mathématiques Appliquées de l'École polytechnique|Institut Polytechnique de Paris,FR,last_known_institutions_primary,matched_by_orcid
pid:00/8341,https://openalex.org/A5005771535,Rico Sennrich,University of Zurich,University of Zurich,CH,last_known_institutions_primary,matched_by_orcid
pid:00/8526,https://openalex.org/A5030309917,Nicha C. Dvornek,Yale University,Yale University,US,affiliations_fallback,matched_by_orcid
pid:00/9830,https://openalex.org/A5007248971,Mauricio A. Álvarez,Technological University of Pereira,Technological University of Pereira|University of Manchester|University of Sheffield,CO,last_known_institutions_primary,matched_by_orcid
pid:01/10046,https://openalex.org/A5053007211,Ethan Fetaya,Bar-Ilan University,Bar-Ilan University,IL,last_known_institutions_primary,matched_by_orcid
pid:01/10111,https://openalex.org/A5101981252,Chengyan Wang,Kunming University of Science and Technology,Kunming University of Science and Technology|Shanghai International Studies University|Inner Mongolia Normal University|Fudan University|Zhongda Hospital Southeast University|Pudong Medical Center|Obstetrics and Gynecology Hospital of Fudan University|Huashan Hospital|University of Science and Technology Beijing,CN,last_known_institutions_primary,matched_by_orcid
pid:01/10532,https://openalex.org/A5019481499,Antoine Jacquier,NIHR Imperial Biomedical Research Centre,NIHR Imperial Biomedical Research Centre|The Alan Turing Institute|Imperial College London,GB,last_known_institutions_primary,matched_by_orcid
pid:01/1067,https://openalex.org/A5039959148,Christopher J. Hillar,"University of California, Berkeley","University of California, Berkeley",US,affiliations_fallback,matched_by_orcid
pid:01/1084-1,https://openalex.org/A5101988843,Abhinav Verma,Pennsylvania State University,Pennsylvania State University,US,last_known_institutions_primary,matched_by_orcid
pid:01/10961,https://openalex.org/A5033819821,Tobias Sutter,University of St.Gallen,University of St.Gallen|University of Applied Sciences St. Gallen,CH,last_known_institutions_primary,matched_by_orcid
pid:01/1123,,,,,,error,error:AttributeError
pid:01/1190-5,https://openalex.org/A5011513673,T. G. F. Li,Hunan University,Hunan University,CN,last_known_institutions_primary,matched_by_orcid
pid:01/1198-1,https://openalex.org/A5004256678,Liang Qiu,Stanford University,Stanford University,US,last_known_institutions_primary,matched_by_orcid
pid:01/1361,https://openalex.org/A5025122230,Tanja Alderliesten,Leiden University Medical Center,Leiden University Medical Center,NL,last_known_institutions_primary,matched_by_orcid
pid:01/1516,https://openalex.org/A5068804090,Vikram Krishnamurthy,Cornell University,Cornell University|Government Medical College Thoothukudi,US,last_known_institutions_primary,matched_by_orcid
pid:01/161-2,https://openalex.org/A5100699151,Chen Feng,Shibaura Institute of Technology,Shibaura Institute of Technology|University of Bristol|Wuhan University|New York University|Nanjing Medical University,JP,last_known_institutions_primary,matched_by_orcid
pid:01/1844-32,https://openalex.org/A5063911579,Zhenyu Zhang,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,CN,last_known_institutions_primary,matched_by_orcid
pid:01/1844-5,https://openalex.org/A5100389499,Zhenyu Zhang,Nanjing University of Information Science and Technology,Nanjing University of Information Science and Technology|Heilongjiang Bayi Agricultural University|Jilin Agricultural Science and Technology University,CN,last_known_institutions_primary,matched_by_orcid
pid:01/1844-6,https://openalex.org/A5100389535,Zhenyu Zhang,Anhui Xinhua University,Anhui Xinhua University,CN,last_known_institutions_primary,matched_by_orcid
pid:01/188,https://openalex.org/A5053892288,Laurent Jacques,UCLouvain,UCLouvain,BE,last_known_institutions_primary,matched_by_orcid
pid:01/1901-15,https://openalex.org/A5101704069,Yi Zhou,IBM Research - Almaden,IBM Research - Almaden,US,affiliations_fallback,matched_by_orcid
pid:01/1901-17,https://openalex.org/A5101704070,Yi Zhou,Chongqing University of Posts and Telecommunications,Chongqing University of Posts and Telecommunications|China National Offshore Oil Corporation (China)|Henan University|Peking University|Lanzhou University of Technology|Sichuan University|Queens University|Economic Research Institute,CN,last_known_institutions_primary,matched_by_orcid
pid:01/1901-19,,,,,,,not_found
pid:01/1901-20,https://openalex.org/A5101846956,Yi Zhou,State Grid Corporation of China (China),State Grid Corporation of China (China),CN,last_known_institutions_primary,matched_by_orcid
pid:01/1901-23,https://openalex.org/A5002389397,Yi Zhou,Adobe Systems (United States),Adobe Systems (United States),US,last_known_institutions_primary,matched_by_orcid
pid:01/1901-7,https://openalex.org/A5100734971,Yi Zhou,Microsoft (United States),Microsoft (United States)|University of Electronic Science and Technology of China|Soochow University|Affiliated Hospital of Youjiang Medical University for Nationalities|Southeast University,US,last_known_institutions_primary,matched_by_orcid
pid:01/2086-15,https://openalex.org/A5051161496,Lu Lu,Zhejiang Normal University,Zhejiang Normal University|Hangzhou Normal University|China Mobile (China)|Chinese Academy of Medical Sciences & Peking Union Medical College|Sichuan University|West China Hospital of Sichuan University|Zigong First People's Hospital|China United Network Communications Group (China)|China Medical University,CN,last_known_institutions_primary,matched_by_orcid
pid:01/2095-11,https://openalex.org/A5133198996,Xiao Han,Sichuan University,Sichuan University,CN,last_known_institutions_primary,matched_by_orcid
pid:01/2095-4,https://openalex.org/A5014939822,Xiao Han,Zhejiang University of Technology,Zhejiang University of Technology,CN,last_known_institutions_primary,matched_by_orcid
pid:01/24-6,https://openalex.org/A5022659405,L. Yang,University of Shanghai for Science and Technology,University of Shanghai for Science and Technology|Princeton University|Peking University|Lanzhou Jiaotong University|Soochow University,CN,last_known_institutions_primary,matched_by_orcid
pid:01/2404-3,https://openalex.org/A5087373711,Qingyu Yang,University of Nottingham Ningbo China,University of Nottingham Ningbo China|Beijing Technology and Business University|Shenyang Normal University|Sichuan Animal Science Academy|Institute of Special Animal and Plant Sciences|Sichuan Academy of Agricultural Sciences|East China Normal University|Xi'an Jiaotong University,CN,last_known_institutions_primary,matched_by_orcid
pid:01/2463,https://openalex.org/A5041685522,Riccardo Zecchina,Bocconi University,Bocconi University,IT,last_known_institutions_primary,matched_by_orcid
pid:01/2478-23,https://openalex.org/A5100350500,Yang Chen,Shanghai Jiao Tong University,Shanghai Jiao Tong University,CN,affiliations_fallback,matched_by_orcid
pid:01/2487,https://openalex.org/A5106498523,Noel E. O’Connor,Dublin City University,Dublin City University,IE,last_known_institutions_primary,matched_by_orcid
pid:01/2537-40,https://openalex.org/A5110851489,Jin Liu,Xuzhou Medical College,Xuzhou Medical College|Chinese Academy of Sciences|ShanghaiTech University|Affiliated Hospital of Xuzhou Medical College|Institute of Automation|Jiangsu Province Hospital|Nanjing Medical University,CN,last_known_institutions_primary,matched_by_orcid
pid:01/2538-1,https://openalex.org/A5101525319,Dan Meng,Chinese Academy of Sciences,Chinese Academy of Sciences,CN,affiliations_fallback,matched_by_orcid
pid:01/2538-2,https://openalex.org/A5054693503,Dan Meng,Institute of Information Engineering,Institute of Information Engineering|University of Chinese Academy of Sciences,CN,last_known_institutions_primary,matched_by_orcid
pid:01/267-1,https://openalex.org/A5043464306,Song Guo,Hong Kong Polytechnic University,Hong Kong Polytechnic University|Hong Kong University of Science and Technology|Peking University|State Key Joint Laboratory of Environment Simulation and Pollution Control|Children's Hospital of Chongqing Medical University|Sichuan Academy of Agricultural Sciences|Massachusetts Institute of Technology|Chongqing Medical University|University of Hong Kong|Tsinghua University,HK,last_known_institutions_primary,matched_by_orcid
pid:01/2743-6,https://openalex.org/A5089012283,Rui Song,Xidian University,Xidian University,CN,last_known_institutions_primary,matched_by_orcid
pid:01/2888,https://openalex.org/A5135484523,Gaogang Xie,,,,missing,matched_by_orcid
pid:01/2946-1,https://openalex.org/A5101645200,Youngjoon Kim,Inha University,Inha University,KR,last_known_institutions_primary,matched_by_orcid
pid:01/3367,https://openalex.org/A5135998125,Sheng-Jun Huang,Nanjing University of Aeronautics and Astronautics,Nanjing University of Aeronautics and Astronautics,CN,last_known_institutions_primary,matched_by_orcid
pid:01/3442-1,https://openalex.org/A5071724015,Xinpeng Zhang,Fudan University,Fudan University,CN,last_known_institutions_primary,matched_by_orcid
pid:01/3542,https://openalex.org/A5055053078,Simon Lucey,The University of Adelaide,The University of Adelaide,AU,last_known_institutions_primary,matched_by_orcid
pid:01/3595-11,https://openalex.org/A5100770578,Rui Sun,Columbia University,Columbia University,US,last_known_institutions_primary,matched_by_orcid
pid:01/3595-6,https://openalex.org/A5101887041,Rui Sun,University of Science and Technology of China,University of Science and Technology of China|Harbin Medical University|University Town of Shenzhen|SpaceX (United States)|Tsinghua University,CN,last_known_institutions_primary,matched_by_orcid
pid:01/3693,https://openalex.org/A5028372092,Carolina Wählby,Uppsala University,Uppsala University,SE,last_known_institutions_primary,matched_by_orcid
pid:01/3962-1,https://openalex.org/A5100741363,Yueming Wang,Anhui Jianzhu University,Anhui Jianzhu University|Zhejiang University of Science and Technology|Interface (United States)|Zhejiang Lab|Shanghai Institute of Technical Physics|Guangzhou Institute of Geography|Beijing Tsinghua Chang Gung Hospital|University of Chinese Academy of Sciences|Zhejiang University of Technology|Zhejiang University,CN,last_known_institutions_primary,matched_by_orcid
pid:01/4027,https://openalex.org/A5078340555,Michael Milford,Queensland University of Technology,Queensland University of Technology|Australian Centre for Robotic Vision,AU,last_known_institutions_primary,matched_by_orcid
pid:01/4088,https://openalex.org/A5044801840,F. Bruce Shepherd,University of British Columbia Hospital,University of British Columbia Hospital|University of British Columbia,CA,last_known_institutions_primary,matched_by_orcid
pid:01/4449-1,https://openalex.org/A5036358447,Zhiguo Cao,Nanyang Technological University,Nanyang Technological University|Guangzhou Development Zone Hospital|Huanghuai University|Lu'an First People's Hospital|Huazhong University of Science and Technology|Henan Normal University,SG,last_known_institutions_primary,matched_by_orcid
pid:01/452-1,https://openalex.org/A5009753955,Zhiyong Yang,PLA Rocket Force University of Engineering,PLA Rocket Force University of Engineering|University of Chinese Academy of Sciences|Nanchang Hangkong University,CN,last_known_institutions_primary,matched_by_orcid
pid:01/4547,https://openalex.org/A5063512925,Hamid R. Rabiee,Sharif University of Technology,Sharif University of Technology,IR,last_known_institutions_primary,matched_by_orcid
pid:01/4825,https://openalex.org/A5072857797,Carmela Troncoso,Max Planck Institute for Security and Privacy,Max Planck Institute for Security and Privacy|École Polytechnique Fédérale de Lausanne,DE,last_known_institutions_primary,matched_by_orcid
pid:01/4921,https://openalex.org/A5033409139,Tudor Dumitraş,"University of California, Santa Barbara","University of California, Santa Barbara",US,last_known_institutions_primary,matched_by_orcid
pid:01/4925,https://openalex.org/A5037482641,Dimitrios A. Adamos,Imperial College London,Imperial College London,GB,last_known_institutions_primary,matched_by_orcid
pid:01/4960,,,,,,error,error:AttributeError
pid:01/5329,https://openalex.org/A5108278266,Alán Aspuru-Guzik,Canadian Institute for Advanced Research,Canadian Institute for Advanced Research|University of Toronto|Vector Institute,CA,last_known_institutions_primary,matched_by_orcid
pid:01/5394-1,https://openalex.org/A5100334607,Liang Chen,Tongji University,Tongji University|ShangHai JiAi Genetics & IVF Institute,CN,last_known_institutions_primary,matched_by_orcid
pid:01/5394-24,https://openalex.org/A5081605693,Liang Chen,Guangxi University,Guangxi University|National Grid (United States)|Peking University|Central China Normal University,CN,last_known_institutions_primary,matched_by_orcid
pid:01/5394-30,https://openalex.org/A5091983077,Liang Chen,The University of Adelaide,The University of Adelaide,AU,last_known_institutions_primary,matched_by_orcid
pid:01/5394-9,https://openalex.org/A5101957211,Liang Chen,Army Medical University,Army Medical University|Cangzhou Central Hospital|Xinqiao Hospital|China Coal Technology and Engineering Group Corp (China),CN,last_known_institutions_primary,matched_by_orcid
pid:01/5707,https://openalex.org/A5071976409,Joost Vennekens,Vrije Universiteit Brussel,Vrije Universiteit Brussel|KU Leuven,BE,last_known_institutions_primary,matched_by_orcid
