dblp_pid,orcid
00/6973-1,0000-0003-4839-1525
00/6984-1,0000-0002-2693-5520
00/7084,
00/7183,
00/7186,
00/7271,
00/7347,0000-0002-4973-676X
00/7361,
00/7375,
00/7423,0000-0002-7751-1760
00/7428,
00/7437,0000-0003-0271-8246
00/7447,0000-0002-1426-3210
00/7555,
00/7566,
00/7673,
00/7677,0000-0003-1852-2547
00/7723,
00/7733-2,0000-0002-1842-7622
00/7739,0000-0002-0661-7189
00/7782,
00/7872-2,0009-0009-3044-6584
00/8045,
00/8046,0000-0001-8458-1727
00/8050,0000-0003-1119-2426
00/809,
00/8091,
00/8110-1,0000-0003-2976-3047
00/8156,
00/819,0000-0002-3192-4172
00/8221,
00/8231,
00/8247,0000-0003-2409-7735
00/8258,
00/8318,0000-0002-4212-6627
00/8341,0000-0002-1438-4741
00/8454,
00/8468,
00/8524,
00/8526,0000-0002-1648-6055
00/870,
00/8739,
00/8841,
00/9012,
00/9080,
00/9100,
00/9389,
00/9456,
00/9501,
00/952,
00/9740,
00/9830,0000-0002-8980-4472
00/9890,
01/10046,0000-0003-3125-1665
01/10111,0000-0002-8890-4973
01/10229,
01/10264,
01/10400,
01/10471,
01/10532,0000-0003-3986-3201
01/1067,0000-0001-8575-2663
01/10769-1,
01/10779,
01/10825,
01/1084-1,0000-0002-9820-8285
01/10961,0000-0003-1226-6845
01/11007,
01/11202,
01/1123,0000-0003-2022-7424
01/11275,
01/11424,
01/1190-1,
01/1190-5,0000-0002-3134-4151
01/1198,
01/1198-1,0000-0001-9904-2953
01/1361,0000-0003-4261-7511
01/1417,
01/1471,
01/1483,
01/1492,
01/1516,0000-0002-4170-6056
01/1605-1,
01/1609,
01/161,
01/161-2,0000-0003-3211-1576
01/1638,
01/1709,
01/175,
01/1844,
01/1844-15,
01/1844-32,0000-0001-5589-7538
01/1844-5,0000-0001-5727-9450
01/1844-6,0000-0002-5936-6678
01/188,0000-0002-6261-0328
01/1901,
01/1901-15,0000-0002-2073-8809
01/1901-17,0000-0002-3982-9145
01/1901-18,
01/1901-19,0000-0001-7009-8515
01/1901-20,0000-0002-8520-8227
01/1901-23,0000-0002-2632-7664
01/1901-7,0000-0003-3021-3229
01/2009,
01/2068,
01/2076,
01/2086,
01/2086-15,0000-0003-1311-9097
01/2095,
01/2095-11,0000-0002-5151-6547
01/2095-4,0000-0002-3478-964X
01/2116,
01/2142,
01/2224,
01/2356,
01/2358,
01/2390,
01/24-6,0000-0003-1905-8053
01/2404-3,0000-0002-1525-2900
01/2410,
01/2463,0000-0002-1221-5207
01/2478,
01/2478-23,0000-0003-4496-7849
01/2487,0000-0002-4033-9135
01/2492,
01/2511,
01/2537,
01/2537-40,0009-0007-7320-5479
01/2538-1,0000-0003-1980-9283
01/2538-2,0009-0002-9868-5353
01/2600,
01/2608,
01/267-1,0000-0001-9831-2202
01/2674,
01/2743-6,0000-0003-1875-2115
01/2775,
01/2775-0008,
01/2880,
01/2888,0000-0003-4964-1135
01/2946-1,0000-0003-3131-0215
01/2998-1,
01/2998-10,
01/2998-12,
01/3012,
01/3131,
01/3227,
01/3283,
01/3361,
01/3367,0000-0002-7673-5367
01/3372-1,
01/3441,
01/3442-1,0000-0001-5867-1315
01/3458,
01/3496-1,
01/3496-2,
01/3542,0000-0002-6326-042X
01/3595,
01/3595-11,0000-0001-9927-8392
01/3595-6,0000-0002-8009-4240
01/3620,
01/3683,
01/3693,0000-0002-4139-7003
01/3763,
01/392,
01/3962,
01/3962-1,0000-0001-7742-0722
01/4017,
01/4027,0000-0002-5162-1793
01/4053,
01/4088,0000-0003-1972-1396
01/4121,
01/4141,
01/4449-1,0000-0002-9223-1863
01/448,
01/452-1,0000-0002-4409-4999
01/4545,
01/4547,0000-0002-9835-4493
01/4590,
01/4768,
01/4825,0000-0002-2374-2248
01/4921,0000-0003-4350-7226
01/4923,
01/4925,0000-0001-6700-1057
01/4960,0000-0001-6894-6108
01/5235,
01/5265,
01/5329,0000-0002-8277-4434
01/5332,
01/5394,
01/5394-1,0000-0002-3787-8832
01/5394-24,0000-0001-6369-3543
01/5394-30,0000-0002-2359-6498
01/5394-9,0000-0002-3149-0239
01/5401,
01/5401-4,
01/5512,
01/5544,
01/5564,
01/5601,
01/5657,
01/5707,0000-0002-0791-0176
01/5855,0000-0001-5345-1591
01/5858,
01/5875,
01/5962,
01/5993,
01/6072,
01/6072-2,
01/6072-6,0000-0003-0256-091X
01/6072-7,0000-0002-2419-794X
01/6273,
01/6355,
01/6368,
01/6368-10,0000-0002-3365-4620
01/6368-2,0000-0002-2281-5679
01/6368-4,0000-0003-2101-8683
01/6368-6,0000-0002-3065-393X
01/6464,
01/6508-3,0000-0002-5358-4826
01/66,0000-0002-6955-3135
01/6659,0000-0002-5485-5720
01/6746,
01/6780,
01/6788,0000-0003-3098-383X
01/6790,
01/6892,
01/6902,
01/6917,
01/6961-1,0000-0002-3735-1635
01/7013,
01/7020,
01/7039,
01/7039-6,0000-0001-7566-3755
01/7213,
01/7458,
01/747,
01/7544,
01/7607,
01/7695,
01/773-1,0000-0002-2999-7428
01/784,
01/791,
01/7968,0000-0003-1161-7359
01/800,
01/8009,
01/8056,0000-0001-7501-0009
01/8200,
01/8253,
01/8280,
01/8315,
01/8326,0000-0001-9875-9856
01/8346,0000-0002-8777-8880
01/8359,
01/836-2,0000-0001-7240-3915
01/8415,
01/845,
01/845-1,0000-0002-8083-9257
01/8500,
01/8502,0000-0002-7119-9358
01/8509,
01/8558-1,0000-0002-3220-904X
01/8558-6,0009-0005-9847-4507
01/8625,
01/8634,
01/868,
01/8759,0000-0003-0077-4367
01/8783,
01/8814,0000-0001-6670-149X
01/9014,
01/9396,
01/9539,0000-0003-4807-1345
01/9541,
01/9558,0000-0002-6920-9916
01/9629,
01/963,
01/9684,
01/9751,
01/9758,
01/9816,
01/9883,
01/9954,
02/1003,
02/1003-19,0000-0002-4041-4131
02/1003-30,0000-0002-8671-8771
02/1010,
02/10264,
02/10372,
02/10377-18,0000-0002-3604-166X
02/10377-19,0000-0001-6439-5476
02/10386,
02/10503,
02/10511,
02/10577,0000-0003-3837-2865
02/10616,
02/10620,
02/10697,
02/10719,0000-0002-1778-3350
02/10777,
02/1079,0000-0001-9157-9596
02/10808,
02/10883,
02/10887,
02/10928,
02/10964,
02/11036,
02/11180,
02/11191,
02/11220,
02/11248,
02/11432,0000-0002-6177-3862
02/11511,0000-0002-7881-1749
02/1219,
02/1221,0000-0001-5306-6853
02/1234,
02/1246,
02/1252,0000-0002-9521-1251
02/1272,0000-0003-2130-2887
02/1341,
02/1355,
02/1438,
02/146,0000-0002-9509-8674
02/1504,
02/1509,0000-0003-2183-4314
02/1554,
02/1554-1,0000-0003-2772-9320
02/1554-2,0000-0002-2388-8618
02/1555-1,0000-0002-9522-5637
02/1555-4,0009-0002-5060-4454
02/1555-7,
02/1558,
02/1590,
02/1602,
02/1640,
02/1640-2,0000-0001-9714-5545
02/1640-7,0000-0001-7345-5071
02/1650,0000-0001-5446-9603
02/169,
02/1692,
02/1712,
02/1764,
02/1764-2,0000-0002-3057-1862
02/1812-2,0009-0000-3996-9255
02/1825-2,0000-0002-9477-1791
02/1825-3,
02/1948,
02/2134,0000-0001-5194-1570
02/2154,
02/2229,0000-0002-0255-1119
02/2263,0000-0003-0381-124X
02/2264,
02/227,
02/2279,0000-0002-7699-6444
02/2315,
02/2315-14,0000-0002-6597-5058
02/2407-6,0000-0002-7698-2173
02/2445,
02/2475-1,0000-0001-9081-2835
02/2475-2,0000-0003-1674-3733
02/2520,
02/2645,0000-0002-4757-2052
02/2689-1,0000-0002-2668-0070
02/271,
02/2724,
02/2737-1,0000-0003-3546-6305
02/2847,
02/2870,0000-0001-8710-247X
02/291-2,0000-0001-7751-1827
02/3016,
02/3062,
02/3069,0000-0002-7376-5536
02/3138,
02/3163,
02/3166-2,0000-0003-1970-8634
02/3313,
02/3331,
02/3331-1,0000-0002-1265-4656
02/3490,
02/3492,
02/3657,0000-0003-2763-7856
02/3672,
02/3672-8,0000-0001-8045-8983
02/3672-9,0000-0001-5143-5061
02/3674,
02/3674-7,0000-0002-0737-9653
02/3699,
02/3699-2,0000-0003-3738-4311
02/3718,
02/3721,
02/3721-2,
02/3733,
02/3812,
02/3812-1,0000-0003-3628-9777
02/3815,
02/3817,
02/393-1,0009-0009-8093-4826
02/393-7,0000-0003-4629-9901
02/3932,
02/3958,0000-0003-1973-5704
02/3975,
02/4088,
02/4099,
02/41-1,0000-0001-9333-1746
02/41-2,0000-0003-0659-7154
02/4159,0000-0003-1124-8821
02/4162,0000-0003-3546-8247
02/4201,
02/4201-3,0009-0002-6668-3230
02/4266,
02/4339,
02/436,
02/436-2,
02/4380-1,0000-0002-4276-1831
02/4419,
02/445,
02/4471,0000-0001-6400-7736
02/448,
02/450-2,0000-0002-2227-2555
02/4647-2,0000-0002-5347-2728
02/4647-6,0000-0001-9096-8792
02/4773,
02/4775,
02/4808,0000-0002-3323-3092
02/4822,
02/4907,
02/4965,
02/5130,
02/5139,
02/5139-1,0000-0003-2615-1555
02/5139-6,
02/5194-1,0000-0001-7351-377X
02/525,
02/5276,0000-0001-7766-230X
02/5283-1,0000-0001-7909-3753
02/5283-2,0000-0002-5639-450X
02/5388,
02/5438,0000-0003-2697-8093
02/5438-2,0000-0001-8542-5937
02/5478,0000-0002-5708-6023
02/5530,
02/563,
02/5672,
02/5812,0000-0002-4633-6867
02/5887,
02/5889,
02/5889-102,
02/5889-103,0000-0001-6514-1750
02/5889-106,0000-0002-4788-8655
02/5889-144,0000-0002-6287-4710
02/5889-152,0000-0002-1479-576X
02/5889-160,0000-0001-6908-508X
02/5889-167,0000-0002-9345-4911
02/5889-170,0000-0002-0294-8706
02/5889-174,0000-0001-7099-4424
02/5889-176,0009-0003-5193-1841
02/5889-27,0000-0001-9500-081X
02/5889-60,0000-0003-4219-781X
02/5889-75,
02/5889-9,
02/5906-9,0000-0002-8196-7920
02/6128,
02/6128-16,0000-0001-9843-5982
02/6128-6,
02/6135,
02/6162,
02/617,
02/621-1,0000-0003-0833-7903
02/6302,
02/6332,
02/6428,
02/6456-1,0000-0002-9077-9921
02/6465,0000-0003-4794-0940
02/6504,
02/6588,
02/661,
02/661-1,0000-0002-3245-1901
02/6731,
02/6787,
02/6854-2,0000-0002-4116-5237
02/6854-5,0000-0002-9790-1504
02/6888,0000-0003-0454-3929
02/6952,
02/6955,
02/6977-5,0000-0001-9096-8258
02/6979,
02/7013,
02/7028-2,0000-0002-1347-8535
02/7062,0000-0002-0163-0739
02/7122,
02/7206-1,
02/7252-2,
02/736-113,0000-0003-2734-7138
02/736-194,0009-0003-9042-3890
02/736-21,0000-0003-2065-1102
02/736-210,0000-0001-6410-9935
02/736-23,0000-0002-3375-6694
02/736-241,0009-0001-2798-0884
02/736-60,0000-0002-1017-2231
02/7395,0000-0003-4022-6912
02/7548,
02/7568,
02/7596,
02/7619,
02/7740,0000-0002-1369-0085
02/7753,
02/7781,
02/7781-1,0000-0003-0682-8645
02/7832,
02/7910,
02/7910-2,0000-0002-5236-6691
02/7980,
02/7988,
02/8067,
02/8075,0000-0001-5865-6078
02/8125,
02/8125-3,0000-0003-1738-6096
02/8137,
02/8137-7,
02/817,
02/8178,
02/8200-2,0000-0001-6053-4344
02/831,
02/8310,
02/8371,
02/8464,
02/8471,
02/8536,
02/8613,
02/8743,
02/8768,
02/8768-2,0009-0002-2714-1287
02/8779,
02/8956,0000-0002-6832-3274
02/9048,
02/9049,
02/909,0000-0002-1813-7414
02/917,
02/9170,
02/929,
02/929-1,0000-0002-2529-7643
02/9364,
02/9381,
02/9423,
02/9600,
02/9606,0000-0003-3604-3590
02/9610,
02/9640,0000-0002-5686-5498
02/9654-1,0000-0003-1746-295X
02/9731,
02/9737,0000-0002-1570-7610
02/9843-1,0009-0008-3530-6903
02/9850-1,0000-0003-1105-8083
02/9996,
03/10022,
03/10023-1,0000-0002-7450-0273
03/10049,
03/10087,
03/10100,
03/10188,
03/10205,
03/10205-5,0000-0001-9241-702X
03/10297,
03/10490,
03/10533,
03/10548,0000-0003-2879-0932
03/10570,
03/10818,0000-0003-2936-4775
03/1086,
03/1086-1,0000-0002-7200-1702
03/1086-4,0000-0001-8209-9021
03/1094,
03/1094-19,0000-0003-3975-2472
03/1094-32,0000-0002-6488-2546
03/1094-34,0000-0002-1189-1254
03/11107,0000-0002-7408-146X
03/11339,0000-0002-0536-6867
03/11382,0000-0003-2187-7314
03/1145,0000-0002-3398-5235
03/1159,0000-0002-6125-6056
03/1188,
03/1312,0000-0001-7323-9213
03/1359-1,0000-0002-7048-3445
03/1382-2,0009-0001-1889-612X
03/1390,
03/1390-11,0000-0002-9759-9747
03/1390-12,0009-0007-7664-8582
03/1390-7,0000-0002-4752-2629
03/1390-8,0000-0003-2667-0654
03/1403,
03/1418,
03/1510,
03/1524-5,0000-0001-6913-7556
03/1554-1,0000-0001-7626-7295
03/1617,0000-0003-4191-2156
03/1645,0000-0001-5250-4874
03/1691,
03/178-2,0009-0005-7848-2809
03/1851,
03/1865,
03/1871,
03/1871-4,
03/2000,0009-0008-8302-1902
03/2125,
03/2134,
03/2134-22,0000-0001-5953-4566
03/2134-36,0000-0002-7305-5569
03/2134-44,0000-0002-1327-1315
03/2134-47,0000-0002-1782-2081
03/2155,
03/2180,
03/2183,
03/2238,
03/2323,
03/2509,
03/2511-2,0000-0001-9788-6634
03/2548-2,0000-0002-4451-6661
03/2602,
03/2610,
03/2611-7,0000-0003-3347-7510
03/2663,0000-0002-2728-8273
03/2691,0000-0002-8058-8638
03/2763,
03/278,
03/2783,
03/281,0000-0002-3483-8333
03/281-2,0000-0003-3036-2961
03/2833,
03/2912,
03/2933,0000-0003-1371-2608
03/2938,
03/3063-1,0000-0002-9217-5451
03/3126,
03/3233,0000-0002-1253-8081
03/3273,0000-0002-1803-5338
03/3289,
03/3399,
03/3500,0000-0002-8926-4162
03/3511,
03/3520-2,0000-0002-8579-1600
03/3520-8,0000-0003-3948-0649
03/353,0000-0002-5882-6433
03/3571,0000-0003-1554-8397
03/3669,0000-0001-6251-6078
03/3734,
03/3739,
03/381,
03/3843,0000-0003-0932-774X
03/3898,
03/3913,0000-0002-6279-2483
03/3914,0000-0003-1343-4775
03/3923-1,0000-0002-9463-9168
03/394,0000-0001-6201-9047
03/4032,
03/4043,
03/4043-1,0000-0002-6930-8674
03/4043-12,0009-0001-1889-5864
03/4043-5,0000-0002-3848-0017
03/4112,0009-0005-0569-4122
03/4147,0000-0001-6034-644X
03/4230,0000-0003-2150-1237
03/4271-1,0009-0000-6976-9510
03/4368,0000-0002-5579-6961
03/4394,
03/4406,
03/4509,
03/4540-2,0000-0002-4368-5092
03/4540-9,0000-0002-7190-9620
03/4555-1,
03/4610,0000-0002-2872-388X
03/4630,0000-0003-2532-5349
03/4679,
03/4702,
03/4702-1,0000-0002-2636-7594
03/4702-12,0000-0003-2205-2429
03/4755-5,0000-0003-4436-0991
03/4883,
03/500-4,0009-0007-5180-9503
03/505,0000-0002-8132-6250
03/517,
03/517-1,0000-0002-4101-3401
03/5189-5,0009-0000-8830-3820
03/5189-6,0000-0003-3374-5845
03/5204-1,0000-0002-5952-8753
03/5225-1,0000-0002-0550-6145
03/5287-8,0000-0001-6440-2242
03/5291,
03/5393,
03/5448,0000-0002-3987-9847
03/5454,
03/5455,0009-0009-2673-0144
03/5467,
03/5480,
03/5484,
03/5499,
03/5529,0000-0002-8515-6324
03/5595-1,0000-0003-1118-9710
03/5595-7,
03/5595-9,0000-0003-4650-5066
03/5597,0000-0003-4932-0593
03/5683,
03/5747,
03/5773,
03/5773-3,0000-0003-0149-6055
03/5785-1,0000-0003-0828-7280
03/5833,
03/5847-1,0000-0001-6444-7045
03/5857,
03/588,0000-0002-8213-3987
03/5954,
03/5954-2,0000-0002-9014-7369
03/5954-9,0009-0000-7569-1828
03/5955,0000-0001-6280-0941
03/5977,
03/5979,
03/6063,0000-0002-1184-5776
03/6203,0000-0001-8015-8577
03/6207,0000-0002-0008-2953
03/6299,
03/6325,
03/6325-17,
03/6455,
03/6509,0000-0001-8762-4454
03/6550,
03/6588,
03/6714,
03/6734,0000-0001-8573-2654
03/6745,
03/6757,0000-0002-4012-461X
03/6763,
03/6827-1,0000-0003-0089-1045
03/6834,
03/6858,
03/6872,
03/6872-1,0000-0001-5774-1916
03/6900,
03/6925,
03/6947,
03/6999,
03/6999-1,0009-0000-6597-2044
03/7058,
03/7346-2,0000-0002-4409-7030
03/7380,
03/7447-3,0000-0003-0396-7850
03/7457,0000-0002-1719-0328
03/7559,
03/7627,
03/7764,
03/7883,
03/8052,0000-0003-2010-4053
03/8108,0000-0002-3443-8161
03/8117,0000-0001-9644-9723
03/8131,
03/8155,0000-0002-2072-3789
03/8340,
03/8395,0000-0002-7057-2966
03/8407,
03/8409,
03/8495,
03/864,
03/8686,0000-0001-8398-7178
03/8693,0000-0001-8947-1332
03/8707,0000-0003-2359-1678
03/8709,0000-0002-6940-3006
03/8738,
03/8776,
03/8978,
03/9015,0000-0001-9955-2101
03/9223,
03/9287,
03/9375,
03/9437,0000-0002-9900-9309
03/9439-1,0000-0003-3427-0845
04/10008,0000-0003-4951-5235
04/10068,
04/10181,
04/10183,
04/10257,
04/10427,0000-0003-1023-3927
04/10441,
04/10448,
04/10513,
04/10544,0000-0002-0113-6968
04/10549,
04/10556,
04/10606,0000-0003-1395-261X
04/10798,
04/10853,
04/10872,
04/10996,0000-0002-4872-6914
04/11130,
04/1131-4,0009-0000-4188-7742
04/11327,
04/1134,
04/115,
04/11533,
04/11534,
04/1160-1,0000-0002-7095-0621
04/1193,
04/1346-1,0000-0001-5711-4891
04/1363,0000-0003-0455-7634
04/1505,0000-0003-4908-1860
04/1535,
04/1538,0000-0003-1560-5136
04/1781,
04/1781-4,0000-0003-0578-6869
04/1781-6,0000-0003-4803-4464
04/1784,
04/1823,0000-0001-8847-5235
04/1832,
04/1895,
04/1896,
04/1930,
04/1935-1,0000-0002-8838-5421
04/1990,
04/1995,0000-0001-9461-5804
04/2024,
04/2024-67,
04/2024-80,0000-0001-5314-4233
04/2024-9,0009-0004-4123-8979
04/2026,
04/2040,
04/2068,0000-0001-8930-0058
04/2090,
04/2090-7,0000-0001-7408-1200
04/2091-1,
04/2124,
04/2363,
04/2380,
04/2380-2,0000-0001-6348-010X
04/2532,0000-0001-7484-2049
04/2617,0000-0001-5173-1661
04/2640,
04/2721,
04/2753,0000-0002-4285-4990
04/2864,
04/2868-4,
04/2896,
04/2928,
04/2928-1,0000-0002-7627-7124
04/2964,
04/3001,
04/3001-10,
04/3001-27,
04/3004-1,0000-0001-8324-2416
04/3021,
04/3068,
04/3077,
04/3129,0000-0002-7768-8961
04/3190,
04/320-5,
04/3217,
04/3348,
04/3348-109,0000-0003-1642-0758
04/3348-67,0000-0003-3470-3663
04/3355,
04/3396-1,0000-0002-1251-088X
04/3398-3,0009-0008-7093-2280
04/3462,
04/3491,
04/3583,
04/3668,
04/3731,
04/376-4,0009-0000-3250-1756
04/3794-8,
04/3823-1,0009-0006-7706-9171
04/383-11,
04/383-13,
04/388,
04/390,
04/3916-1,
04/3916-4,
04/4053,
04/4053-1,0000-0003-2166-751X
04/4092,
04/418,
04/4189,
04/4189-8,0009-0000-9915-5608
04/4203,
04/425,0000-0001-9526-7549
04/4273,0000-0003-2856-7589
04/4291,
04/4422,
04/4493,
04/4498,
04/4498-8,0000-0003-3647-8674
04/4637,
04/4637-6,
04/4652,0000-0002-3004-0770
04/4658,
04/4658-1,0000-0001-5313-1600
04/4661,
04/470,
04/470-3,0000-0002-9886-6851
04/4788,
04/4799,0000-0003-0326-4303
04/4808-2,
04/4910,
04/4910-2,0000-0001-8758-9484
04/4919,
04/4949,
04/4980,0000-0003-4136-4719
04/5072,0000-0001-9393-1127
04/516,
04/5226,
04/5239-2,0000-0003-2327-674X
04/5374,
04/5376,0000-0001-7958-9855
04/5392,0000-0003-2623-3438
04/55-2,0009-0004-3796-3705
04/5555,0000-0003-0409-1563
04/5577,0000-0003-3131-0709
04/5600,0000-0002-2315-1704
04/5616,
04/5616-3,0000-0002-9131-5854
04/5623,0000-0003-4853-053X
04/5629,
04/5641,
04/575,
04/5753,
04/5757,
04/5802,
04/5828,
04/5856,
04/5856-1,
04/5856-7,0000-0001-8910-0937
04/5856-9,0000-0001-8336-5926
04/5884,0000-0002-7127-1137
04/6023,
04/606,
04/6087-2,0000-0002-6193-534X
04/6129,
04/6137,
04/6283,
04/6305,
04/6342,0000-0002-2940-6886
04/6354,0000-0001-7250-7407
04/656,
04/6578,0000-0002-1327-1243
04/6633,
04/6716,0000-0002-8334-9974
04/6739,0000-0002-4212-3362
04/6760,
04/6820,
04/6898-3,0000-0003-1457-2977
04/6901-13,0000-0002-4893-6946
04/6901-43,0000-0003-2384-0697
04/6936,
04/6947,
04/6982,
04/700,0000-0003-2487-6237
04/7038,0000-0001-7169-0158
04/715,
04/7235,
04/7235-1,0000-0001-9410-0392
04/7480,0000-0002-7471-2102
04/7545,
04/773,
04/7819,
04/7848,
04/7892,
04/7943,
04/8136,
04/8207,0000-0001-9780-271X
04/8367,
04/8376,
04/8395-2,0000-0002-3221-3831
04/8412,
04/8524,0000-0002-7323-2393
04/8548,
04/8548-3,
04/8611,
04/8619,
04/8654,
04/8800,0000-0001-5612-5417
04/8847,
04/8960,0000-0002-1967-318X
04/9018,
04/9062-1,0000-0002-6031-3741
04/925,0000-0003-2771-8461
04/9321,
04/9465,
04/952,
04/9709,
04/9828,
04/9830,
04/9925,
04/993,0000-0002-3071-048X
05/1,
05/10000,0000-0002-6929-9982
05/10083,
05/1013-1,0000-0002-6629-7228
05/10266,
05/10301,
05/1032,
05/104,0000-0002-5868-6186
05/1044,0000-0002-6099-2772
05/10441,
05/10531,0000-0002-0178-5060
05/1060,0000-0001-6938-8902
05/10698,
05/10698-26,0000-0001-7291-6198
05/10698-29,
05/10715,
05/10775,
05/10781,
05/10799,
05/11143,
05/11166,0000-0001-8232-5156
05/11408,
05/11418,
05/1147,
05/11538-6,
05/1291,
05/1361,
05/137,
05/1406,
05/1442,
05/1539,
05/1539-10,0000-0002-9385-144X
05/1539-11,0000-0003-4642-5728
05/1539-16,0000-0002-7871-1860
05/1539-25,
05/1539-6,0000-0003-4180-8455
05/1539-9,0000-0003-1993-5749
05/1693,
05/1710,
05/1828,
05/1851-1,0000-0003-0196-6395
05/1860,
05/1958,
05/1958-39,0009-0008-4856-8806
05/1958-42,0000-0002-6390-2373
05/1958-5,0000-0002-9099-2781
05/1958-56,0000-0003-0602-169X
05/2010,0000-0001-9130-1287
05/2053,
05/2084-1,0009-0007-8661-1169
05/2143,
05/2209,
05/2263,0000-0002-4715-212X
05/2346,
05/24,
05/2437,
05/2485,0000-0003-4972-5320
05/2700-1,0000-0003-2160-2839
05/2700-16,0009-0008-4920-4852
05/2700-3,0000-0002-1753-2922
05/2701,0000-0002-7972-7442
05/2730,0000-0001-5282-0463
05/2757,
05/2831-4,0000-0001-5858-5222
05/2887,
05/2961,0000-0002-1102-0387
05/2983,
05/3054,
05/3054-12,
05/3067,
05/3098,
05/3110,
05/328,
05/3289,
05/3352,
05/3392-2,0000-0002-5943-4044
05/3393,0000-0002-8607-9607
05/3403,
05/3403-13,0009-0009-4752-6118
05/342,
05/3431,0000-0003-0717-1120
05/3488,0000-0002-5756-7847
05/3499,
05/3499-1,0000-0003-2019-225X
05/3499-110,0000-0001-8825-263X
05/3499-120,
05/3499-17,0000-0003-3516-0111
05/3499-37,0000-0001-6595-7661
05/3499-51,0000-0003-2663-053X
05/3499-52,0000-0002-8516-0913
05/3540,
05/365-3,0000-0003-4038-753X
05/3653,
05/3782,
05/3838-1,0000-0002-8521-5232
05/3838-2,
05/3845,0000-0002-2032-4286
05/3920-1,0000-0001-8260-3304
05/3933,
05/3933-2,0000-0001-6291-4359
05/3933-3,0000-0002-5557-7515
05/3941,
05/3968,0000-0003-3643-9544
05/4011-1,0000-0003-2375-0034
